CookerStat, GenerateAssetRegistry=0.029650, Initialize=0.288289, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B0AEB9C54A54599484CFB28331A3D9CC__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3302, Duration=0.605568, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_154C265643DA34113BC84281DC149922__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=601, Duration=0.418909, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F8C58E8240EC0CCE5B9F878AACAA9882__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=423, Duration=0.537936, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_62ECE75C4E1DD1F0219287A584075C52__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3277, Duration=0.439007, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CE49991A4B4F64B668B6DEA122D6C430__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=4304, Duration=47.357227, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F52E6F404C32A1E7F2BABA857144665B__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=2323, Duration=47.319897, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D14E087430D1A1360AB84A862584CC0__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1773, Duration=0.477456, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6BA87A8D4A917C2DA87C449D7A354BAD__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=649, Duration=0.561848, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FAD633154A57803E574F26A1487FCE3F__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1381, Duration=0.479396, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_20D482CD4F01C4EEAAA19884D4CD1CDB__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=2450, Duration=0.512410, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_12D3F6744FC1EA00FB64F69F68F468B5__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1181, Duration=0.464775, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5456EAD640C27F0E13845F9F802E5901__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=884, Duration=0.517085, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6A204BE947D482B5BEB9828944335E85__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=758, Duration=0.459176, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_035975694F182560832E3BB7F33B1F52__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=5331, Duration=0.594757, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D0A75E3434F6F91BF31A6BBC2478FB0__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3123, Duration=0.587869, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAE660EA42C80E58A1B2A48E7D4A79DB__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=4130, Duration=0.461016, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_99A82C4E4AF34E02AA1175A8F873E90C__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=511, Duration=0.580061, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B57C288441127AB8A84F1944ED9F139__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1742, Duration=100.838135, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_71276123475684399F5679B3614B5143__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1060, Duration=100.954903, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B1955D44DCC46FE836E49B1340F3B83__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1184, Duration=100.725166, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_495C1F7E47F32682492ECDA747ECAD21__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=4748, Duration=0.575639, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5B2715A74686F0964B320F869276C423__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3755, Duration=0.720751, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_747E0CC54BA9589A0FA6F995C4DC0C94__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1198, Duration=0.521902, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FA592FA54FD5AEFCA5A838BD72D45ED7__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=601, Duration=0.498414, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_37487C714E176A2261D53DB08CC2B44F__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=5353, Duration=0.736114, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3865E48459F4511EF373CB12EBDB99C__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=3505, Duration=0.597157, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3F763F4845D6B6C3A5CA7083C6AB464C__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=2947, Duration=57.190170, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF4B325745DF7BE24B997CBD7325FF95__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=473, Duration=57.282341, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_87347BA446A06DD80D3FC88291A7A319__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=808, Duration=0.503741, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_443914A24024B454BE40728FC8B4DC0D__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1908, Duration=0.508904, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_946645C14375A7E7B3F6FF8FDBA9457E__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1145, Duration=0.647865, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_92ADE1F94846A07B6CD6F99F0864F8D1__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=4654, Duration=0.587448, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_290F3C2C4641A2203CB36682A34286C0__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=4649, Duration=0.696763, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_226153D54B1B9011A5298FAF861D3D37__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=1174, Duration=0.500802, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_77CD1AB445E9B9396B0D24928FCB5744__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=499, Duration=0.651643, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CD12A2EE43AF1B1FE8CD4D8A751BF223__1_0_13123_0, StartTime=2016.07.31-18.02.33, HierarchicalDDC=, DataSize=458, Duration=0.565562, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId9BC6113A164651D08850C69B76A55246_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FFE5EDD24AB47999272510A1C79C1A1F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.31-18.02.33, Duration=1307.918335, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FFE5EDD24AB47999272510A1C79C1__295F6D882DC85CB4CEEB70AAE78ABAEF105D38BC, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=1048841, Duration=31.497850, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FFE5EDD24AB47999272510A1C79C1__9DA0B5AB65FFD475E7651F1A2324B369B69A216F, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=262407, Duration=1.073483, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FFE5EDD24AB47999272510A1C79C1__0A27EAF0FB53DAE09D73558D6FEA790870EBA7B5, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=65799, Duration=0.868242, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FFE5EDD24AB47999272510A1C79C1__F9F2108736F27EE9DDC6FBA2B63490F01834A511, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=16647, Duration=0.788584, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FFE5EDD24AB47999272510A1C79C1__48B7D1BBACAD7CE2EA4E2993FE00CAA6C399C89E, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=7196, Duration=0.468381, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId9BC6113A164651D08850C69B76A55246_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B5E4F8BA4182CA9F0E550D90D80BF28E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.31-18.02.35, Duration=20.141077, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B5E4F8BA4182CA9F0E550D90D80BF__FCEFB47A4EE3081B182E64C6A4AC92B7CD977C5E, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=262407, Duration=338.055969, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B5E4F8BA4182CA9F0E550D90D80BF__B7704B9B10C6F2483A29B7E99E0C14739706B23F, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=65799, Duration=0.720680, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B5E4F8BA4182CA9F0E550D90D80BF__454D274E47A67213558FAE7D5CEC2426E387949C, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=16647, Duration=0.656296, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B5E4F8BA4182CA9F0E550D90D80BF__9F6D46D04808C0BCA77E26E59EE4372B09A739F5, StartTime=2016.07.31-18.02.35, HierarchicalDDC=, DataSize=6899, Duration=540.717773, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId9BC6113A164651D08850C69B76A55246_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B2048F70448DFCEFE53469891B522E54_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.31-18.02.35, Duration=1384.357666, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B2048F70448DFCEFE53469891B522__212EC85A9982FF87AE7D79E1701DD8845E192F2A, StartTime=2016.07.31-18.02.37, HierarchicalDDC=, DataSize=1048841, Duration=265.264313, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B2048F70448DFCEFE53469891B522__F54F6398BD887E49F2CF55D54CB6BCDEA68E045B, StartTime=2016.07.31-18.02.37, HierarchicalDDC=, DataSize=262407, Duration=264.909912, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_20, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B2048F70448DFCEFE53469891B522__CB4F50A6519D7CDDB11F8E14695ABD410EF16083, StartTime=2016.07.31-18.02.37, HierarchicalDDC=, DataSize=65799, Duration=264.427917, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId9BC6113A164651D08850C69B76A55246_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_963334134A799FBD700DAD84864CC78A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.31-18.02.37, Duration=1396.985596, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_21, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B2048F70448DFCEFE53469891B522__AE5261ECE63A95BC5779359DA4DC143E8517A59D, StartTime=2016.07.31-18.02.37, HierarchicalDDC=, DataSize=16647, Duration=0.626650, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B2048F70448DFCEFE53469891B522__0E6DCDC52B471E2A13AAE650A71E05FF3F98C31D, StartTime=2016.07.31-18.02.37, HierarchicalDDC=, DataSize=7196, Duration=0.513751, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionIdDFA1AF15C749A7F517FDCA816946AFE0_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_963334134A799FBD700DAD84864CC__322BF64F283E0898A769063AE6D1D88938E3E063, StartTime=2016.07.31-18.02.38, HierarchicalDDC=, DataSize=1048841, Duration=4.050680, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId894E6CF21341F3C66799798C804D298E_22, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_963334134A799FBD700DAD84864CC__A713C1F0A3CD580D776A7A18D53C1E64CDA54ADF, StartTime=2016.07.31-18.02.38, HierarchicalDDC=, DataSize=262407, Duration=3.075447, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_20, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_963334134A799FBD700DAD84864CC__98E1112FC80DCFDCF74AE70F1151D3EDFA8C22D7, StartTime=2016.07.31-18.02.38, HierarchicalDDC=, DataSize=65799, Duration=0.926461, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
DDCTransactionId1C6EAC88EB4AAACD3009659D9B64B137_21, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_963334134A799FBD700DAD84864CC__CA1A06252E4B616A4A2E838E1CBCFA0B42879786, StartTime=2016.07.31-18.02.38, HierarchicalDDC=, DataSize=16647, Duration=2.225857, RunGuid=RunID246C9ADD7546624AE82F5795AF85A10C
