CookerStat, GenerateAssetRegistry=0.028528, Initialize=0.216756, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5B571271B242DE9DA9296CB5A107D91__9B79075F4C133F72EEA2814467B1392E1C03CC5A, StartTime=2016.07.27-11.26.02, HierarchicalDDC=, DataSize=840, Duration=0.734996, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_03CE774841B43BC21B0635BC891339F5__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2401, Duration=1.060665, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_50A4D2B64BDEFDC023CFA48CED992B5F__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=1809, Duration=0.438519, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_477B3144489F7571D8E339B27035D007__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=4365, Duration=0.747945, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_047BDD8C4377FB868ABF85888FCA624F__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3445, Duration=0.493065, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D3F5D3304B9EE6D227D8E4B03C3C8D60__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=435, Duration=0.583496, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D4B1849F4816EF235FFBD2BC939EB1BE__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=1589, Duration=24.282091, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F89BD14D43A9B31495A3CDB558C63688__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2675, Duration=24.261795, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_29ED12F040A427C69B66F8A6695F3345__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3431, Duration=3.618550, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7B86024A4E5609C8929DF5933E62004F__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=1909, Duration=8.156281, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5B2C4ADD4C03FFB4A148F8B5EB890F91__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2249, Duration=8.328776, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B3E3AB1645149BB7E356ADB73C5BE810__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2672, Duration=0.840157, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6EDEDC0E42462E713BAD9D99717B6C88__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2432, Duration=0.788786, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C03C1F644AEDF00B907A998C8076553E__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2785, Duration=0.447970, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A9CF3A72430F2CC2C9865D924DDF5437__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=1578, Duration=0.679668, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F6DAA3A2438706C0E158979DF88F227B__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=866, Duration=0.718433, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6A10CB8F4B604C1C306A4194F9D9A434__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2394, Duration=0.727095, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9F2B11014D14E196CBF1449415A053B2__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=3630, Duration=10.387495, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5167A17C418BAC2948E62C9C37E19E1A__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=1213, Duration=10.488585, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_08E264AE491A8F92229175BE60D44B84__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=2169, Duration=0.722811, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DDFC69414471D720ED5B6CBA61AFB6E4__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=1882, Duration=0.928853, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F1D271643D064DEAD5D64BDA721576A__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=4398, Duration=0.565980, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_42F6BAF042721B819BB4C69738370093__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=447, Duration=0.594873, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9546E76B4802E3AA3E85D19C2E32FAA9__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=447, Duration=0.544913, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01DF034D40ACE6C7EAA2E3BBFF5A6860__1_0_13123_0, StartTime=2016.07.27-11.26.11, HierarchicalDDC=, DataSize=458, Duration=0.575766, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_16, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_7A__448507B4EA3837E7B327C2A8BD0B0F225648DA66, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=8772305, Duration=124.386024, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_17, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_15__0B7E96381B9AFFB0F3B9A846B759D14702ECE1ED, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=37541, Duration=0.747263, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_00836DFC479137353D338D9E806E49F__F0340AAE37802D5BE6A598839023209D4A73AFCC, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=9830, Duration=0.526235, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_00836DFC479137353__2F1D7E34B34FE7E169B2D6D290D954D7AFD0B702, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=1101, Duration=0.555456, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_18, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_FF__F619DFA2929693169E1A1AFC92AC60DC8A34A4F8, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=23593, Duration=0.653069, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3AB24EE1409DDD5E4827AF91BF8A27B__1F361EE16B3B57FE3F01E5A08AF6406F8C7585D9, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=6000, Duration=0.542324, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_18, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3AB24EE1409DDD5E4__2910AD2E3C23AE17E1E53FDD028331EE66AB9421, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=645, Duration=0.478409, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_19, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_6A__03071D4ECFBB5E5ACAC69EA9D1085DDC2F906174, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=47285, Duration=43.646999, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F83ABAE1430AB7158B07F69E33CE4A8__919D1E7ECBAE053AC595A3403EE91E08FFE74A64, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=14964, Duration=66.646599, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F83ABAE1430AB7158__CFC147C79D298F4686B19F17CD932D9D2750A45E, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=645, Duration=66.586441, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_20, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_92__7FD2CAA02CD26377C60F563C9B4317B3F32DADF3, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=221317, Duration=8.243617, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_60F7DDA9420344446CCD919036223E6__CED7CA04907F334443F5AFF0B1E2B21CA06BB48E, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=83296, Duration=41.208183, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdF9BFFED515449BB694B3EE95A5923F74_20, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_60F7DDA9420344446__A8E448941AEE28ECDAE660B46C4B83044ECABC5E, StartTime=2016.07.27-11.26.14, HierarchicalDDC=, DataSize=9241, Duration=41.049168, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionIdD22C2D3EAE4ADBB4FAAAD18BE08CE3C2_21, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_12__F08E2A63D92920643F33A4D397EE797112E42A08, StartTime=2016.07.27-11.26.15, HierarchicalDDC=, DataSize=153345, Duration=0.722457, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
DDCTransactionId3BBACD32CA48EFD03861D2A27FECF003_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FBED783740FB90D89129D78A9AAE866__A738A57444EC9E6267FFA627F8F5AB8A60BBFD1F, StartTime=2016.07.27-11.26.15, HierarchicalDDC=, DataSize=61750, Duration=0.550922, RunGuid=RunID8FDF9453CD4ABACE86FD378DB057F7F2
